date,text
2021-12-24T01:14:33+00:00,"South Korea pardons ex-president Park Geun-hye 

https://t.co/2oF18HKyTR"
2022-03-08T16:28:08+00:00,"UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine

https://t.co/ER7vvOIAG0"
2022-03-03T02:27:13+00:00,"One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues https://t.co/xPs3Z3vVFn"
2022-03-03T19:10:42+00:00,"UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russias invasion of Ukraine

https://t.co/6kNfucEq6y"
2022-02-25T16:43:14+00:00,"Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion

https://t.co/pZ7uOWtOMU https://t.co/ihqQPcbki5"
2022-02-18T18:16:24+00:00,"Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK

https://t.co/bHiqmlYmr2"
2022-02-15T09:02:02+00:00,Russia says some of its troops are being pulled out from Ukraine border https://t.co/Sl4Lyn9Qwg
2022-02-11T07:17:30+00:00,UK economy grew by 7.5 Percent last year despite Omicron causing slowdown https://t.co/Tn9PYhzATT
2022-02-06T04:40:57+00:00,"Indian singing icon Lata Mangeshkar, the  Nightingale of Bollywood , dies at 92 https://t.co/ZsLtjwWUH1"
2022-01-29T18:42:40+00:00,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik https://t.co/kuw98xKyTV
2022-01-24T16:37:56+00:00,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms

https://t.co/JlutoZcMTG"
2022-01-21T09:45:20+00:00,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon https://t.co/DeAXmp3uns"
2022-01-19T07:10:40+00:00,"UK cost of living rises by 5.4 Percent in the 12 months to December, its fastest pace for 30 years https://t.co/JsRkkCnmED"
2022-01-15T09:57:11+00:00,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific https://t.co/rKkTYEmP2W
2022-01-06T08:29:22+00:00,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday https://t.co/GyWv5UxzK4
2022-01-05T16:05:35+00:00,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says

https://t.co/gEWRtNEPvO"
2022-01-05T01:02:13+00:00,"North Korea launches unidentified projectile into sea

https://t.co/yNtpJxB36l"
2021-12-31T22:30:11+00:00,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an https://t.co/RaSX5xsD8E"
