,who,what,where,when,why,how,text
0,South Korea,pardons,0,0,0,0,"South Korea pardons ex-president Park Geun-hye 

"
1,UK,to phase out Russian oil imports,0,0,UK,"out Russian oil imports by end of this year ,","UK to phase out Russian oil imports by end of this year, minister says, as part of its response to invasion of Ukraine

"
2,One million,have now fled Ukraine,0,0,One million refugees,as Russian invasion continues .,"One million refugees have now fled Ukraine to neighbouring countries, the UN says, as Russian invasion continues"
3,UK,announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russias invasion of Ukraine,0,0,UK,on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russias,"UK announces sanctions on Russian oligarchs Alisher Usmanov and Igor Shuvalov following Russias invasion of Ukraine

"
4,Russia,kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union,0,0,Russia,0,"Russia kicked out of 2022 Eurovision Song Contest by the European Broadcasting Union following Ukraine invasion

"
5,Woman,dies in London after tree,0,0,tree,"tree falls on car , as Storm Eunice lashes UK","Woman in her 30s dies in London after tree falls on car, as Storm Eunice lashes UK

"
6,Russia,says some of its troops,0,0,0,0,Russia says some of its troops are being pulled out from Ukraine border
7,UK economy,grew by 7.5 Percent last year despite Omicron causing slowdown,0,0,UK economy,0,UK economy grew by 7.5 Percent last year despite Omicron causing slowdown
8,Indian singing icon Lata Mangeshkar,dies at 92,0,0,0,"Indian singing icon Lata Mangeshkar , the Nightingale of Bollywood","Indian singing icon Lata Mangeshkar, the  Nightingale of Bollywood , dies at 92"
9,Nine - year - old,dies,0,0,tree,tree falls on them in Staffordshire during Storm Malik,Nine-year-old boy dies and a man is in hospital after tree falls on them in Staffordshire during Storm Malik
10,the UK government,confirms,0,4 am on 11 February,fully vaccinated travellers,for fully vaccinated travellers arriving in England to be scrapped,"Covid tests for fully vaccinated travellers arriving in England to be scrapped from 4am on 11 February, the UK government confirms

"
11,bombastic rock operas,catapulted him to the status of musical icon,0,0,0,whose bombastic rock operas catapulted him to the status of,"Obituary: Meat Loaf, the singer whose bombastic rock operas catapulted him to the status of musical icon"
12,UK,cost of living rises,0,December,UK,its fastest pace for 30 years .,"UK cost of living rises by 5.4 Percent in the 12 months to December, its fastest pace for 30 years"
13,Tsunami,hits Tonga,South Pacific,0,0,after giant underwater volcano eruption sends shockwaves across South Pacific,Tsunami hits Tonga after giant underwater volcano eruption sends shockwaves across South Pacific
14,Novak Djokovic ’s,adjourned until Monday,0,Monday,0,0,Novak Djokovic’s appeal over his deportation from Australia adjourned until Monday
15,Travellers,will not need pre-departure Covid test and will only need a lateral flow test,0,0,Travellers to England,need pre-departure Covid test and will only need a lateral,"Travellers to England will not need pre-departure Covid test and will only need a lateral flow test within two days of arriving, PM Boris Johnson says

"
16,North Korea,launches unidentified projectile,0,0,0,launches unidentified projectile into sea .,"North Korea launches unidentified projectile into sea

"
17,Jonathan Van - Tam,are knighted,0,0,Joanna Lumley,0,"Chris Whitty, Jonathan Van-Tam and Tony Blair are knighted, Joanna Lumley is made a dame, and Spice Girl Mel B gets an"
18,UK Chancellor,announces £ 1bn,0,0,0,hospitality firms hit by Covid,UK Chancellor Rishi Sunak announces £1bn fund for hospitality firms hit by Covid
19,UK Prime Minister Boris Johnson reserves possibility,but says there,0,0,there,are still some things we need to be clearer about,"UK Prime Minister Boris Johnson  reserves possibility  of further Covid measures in England, but says there are  still some things we need to be clearer about  

"
